NUMERO,NOMRE,TIPO_1,TIPO_2,PUNTOS_DE_VIDA,PUNTOS_ATAQUE,PUNTOS_DEFENSA,PUNTOS_ATAQUE_ESPECIAL,PUNTO_DEFENSA_ESPECIAL,PUNTOS_VELOCIDAD,NOMBRE_GENERATIONS,LEGENDARIO,TOTAL
1,Bulbasaur,Planta,Veneno,45,49,49,65,65,45,1,FALSO,318
2,Ivysaur,Planta,Veneno,60,62,63,80,80,60,1,FALSO,405
3,Venusaur,Planta,Veneno,80,82,83,100,100,80,1,FALSO,525
4,Mega Venusaur,Planta,Veneno,80,100,123,122,120,80,1,FALSO,625
5,Charmander,Fuego,,39,52,43,60,50,65,1,FALSO,309
6,Charmeleon,Fuego,,58,64,58,80,65,80,1,FALSO,405
7,Charizard,Fuego,Volador,78,84,78,109,85,100,1,FALSO,534
8,Mega Charizard X,Fuego,Dragon,78,130,111,130,85,100,1,FALSO,634
9,Mega Charizard Y,Fuego,Volador,78,104,78,159,115,100,1,FALSO,634
10,Squirtle,Agua,,44,48,65,50,64,43,1,FALSO,314
11,Wartortle,Agua,,59,63,80,65,80,58,1,FALSO,405
12,Blastoise,Agua,,79,83,100,85,105,78,1,FALSO,530
13,Mega Blastoise,Agua,,79,103,120,135,115,78,1,FALSO,630
14,Caterpie,Bicho,,45,30,35,20,20,45,1,FALSO,195
15,Metapod,Bicho,,50,20,55,25,25,30,1,FALSO,205
16,Butterfree,Bicho,Volador,60,45,50,90,80,70,1,FALSO,395
17,Weedle,Bicho,Veneno,40,35,30,20,20,50,1,FALSO,195
18,Kakuna,Bicho,Veneno,45,25,50,25,25,35,1,FALSO,205
19,Beedrill,Bicho,Veneno,65,90,40,45,80,75,1,FALSO,395
20,Mega Beedrill,Bicho,Veneno,65,150,40,15,80,145,1,FALSO,495
21,Pidgey,Normal,Volador,40,45,40,35,35,56,1,FALSO,251
22,Pidgeotto,Normal,Volador,63,60,55,50,50,71,1,FALSO,349
23,Pidgeot,Normal,Volador,83,80,75,70,70,101,1,FALSO,479
24,Mega Pidgeot,Normal,Volador,83,80,80,135,80,121,1,FALSO,579
25,Rattata,Normal,,30,56,35,25,35,72,1,FALSO,253
26,Raticate,Normal,,55,81,60,50,70,97,1,FALSO,413
27,Spearow,Normal,Volador,40,60,30,31,31,70,1,FALSO,262
28,Fearow,Normal,Volador,65,90,65,61,61,100,1,FALSO,442
29,Ekans,Veneno,,35,60,44,40,54,55,1,FALSO,288
30,Arbok,Veneno,,60,85,69,65,79,80,1,FALSO,438
31,Pikachu,Electrico,,35,55,40,50,50,90,1,FALSO,320
32,Raichu,Electrico,,60,90,55,90,80,110,1,FALSO,485
33,Sandshrew,Tierra,,50,75,85,20,30,40,1,FALSO,300
34,Sandslash,Tierra,,75,100,110,45,55,65,1,FALSO,450
35,Nidoran macho,Veneno,,55,47,52,40,40,41,1,FALSO,275
36,Nidorina,Veneno,,70,62,67,55,55,56,1,FALSO,365
37,Nidoqueen,Veneno,Tierra,90,92,87,75,85,76,1,FALSO,505
38,Nidoran hembra,Veneno,,46,57,40,40,40,50,1,FALSO,273
39,Nidorino,Veneno,,61,72,57,55,55,65,1,FALSO,365
40,Nidoking,Veneno,Tierra,81,102,77,85,75,85,1,FALSO,505
41,Clefairy,Hada,,70,45,48,60,65,35,1,FALSO,323
42,Clefable,Hada,,95,70,73,95,90,60,1,FALSO,483
43,Vulpix,Fuego,,38,41,40,50,65,65,1,FALSO,299
44,Ninetales,Fuego,,73,76,75,81,100,100,1,FALSO,505
45,Jigglypuff,Normal,Hada,115,45,20,45,25,20,1,FALSO,270
46,Wigglytuff,Normal,Hada,140,70,45,85,50,45,1,FALSO,435
47,Zubat,Veneno,Volador,40,45,35,30,40,55,1,FALSO,245
48,Golbat,Veneno,Volador,75,80,70,65,75,90,1,FALSO,455
49,Oddish,Planta,Veneno,45,50,55,75,65,30,1,FALSO,320
50,Gloom,Planta,Veneno,60,65,70,85,75,40,1,FALSO,395
51,Vileplume,Planta,Veneno,75,80,85,110,90,50,1,FALSO,490
52,Paras,Bicho,Planta,35,70,55,45,55,25,1,FALSO,285
53,Parasect,Bicho,Planta,60,95,80,60,80,30,1,FALSO,405
54,Venonat,Bicho,Veneno,60,55,50,40,55,45,1,FALSO,305
55,Venomoth,Bicho,Veneno,70,65,60,90,75,90,1,FALSO,450
56,Diglett,Tierra,,10,55,25,35,45,95,1,FALSO,265
57,Dugtrio,Tierra,,35,80,50,50,70,120,1,FALSO,405
58,Meowth,Normal,,40,45,35,40,40,90,1,FALSO,290
59,Persian,Normal,,65,70,60,65,65,115,1,FALSO,440
60,Psyduck,Agua,,50,52,48,65,50,55,1,FALSO,320
61,Golduck,Agua,,80,82,78,95,80,85,1,FALSO,500
62,Mankey,Combate,,40,80,35,35,45,70,1,FALSO,305
63,Primeape,Combate,,65,105,60,60,70,95,1,FALSO,455
64,Growlithe,Fuego,,55,70,45,70,50,60,1,FALSO,350
65,Arcanine,Fuego,,90,110,80,100,80,95,1,FALSO,555
66,Poliwag,Agua,,40,50,40,40,40,90,1,FALSO,300
67,Poliwhirl,Agua,,65,65,65,50,50,90,1,FALSO,385
68,Poliwrath,Agua,Combate,90,95,95,70,90,70,1,FALSO,510
69,Abra,Psiquico,,25,20,15,105,55,90,1,FALSO,310
70,Kadabra,Psiquico,,40,35,30,120,70,105,1,FALSO,400
71,Alakazam,Psiquico,,55,50,45,135,95,120,1,FALSO,500
72,Mega Alakazam,Psiquico,,55,50,65,175,95,150,1,FALSO,590
73,Machop,Combate,,70,80,50,35,35,35,1,FALSO,305
74,Machoke,Combate,,80,100,70,50,60,45,1,FALSO,405
75,Machamp,Combate,,90,130,80,65,85,55,1,FALSO,505
76,Bellsprout,Planta,Veneno,50,75,35,70,30,40,1,FALSO,300
77,Weepinbell,Planta,Veneno,65,90,50,85,45,55,1,FALSO,390
78,Victreebel,Planta,Veneno,80,105,65,100,70,70,1,FALSO,490
79,Tentacool,Agua,Veneno,40,40,35,50,100,70,1,FALSO,335
80,Tentacruel,Agua,Veneno,80,70,65,80,120,100,1,FALSO,515
81,Geodude,Roca,Tierra,40,80,100,30,30,20,1,FALSO,300
82,Graveler,Roca,Tierra,55,95,115,45,45,35,1,FALSO,390
83,Golem,Roca,Tierra,80,120,130,55,65,45,1,FALSO,495
84,Ponyta,Fuego,,50,85,55,65,65,90,1,FALSO,410
85,Rapidash,Fuego,,65,100,70,80,80,105,1,FALSO,500
86,Slowpoke,Agua,Psiquico,90,65,65,40,40,15,1,FALSO,315
87,Slowbro,Agua,Psiquico,95,75,110,100,80,30,1,FALSO,490
88,Mega Slowbro,Agua,Psiquico,95,75,180,130,80,30,1,FALSO,590
89,Magnemite,Electrico,Acero,25,35,70,95,55,45,1,FALSO,325
90,Magneton,Electrico,Acero,50,60,95,120,70,70,1,FALSO,465
91,Farfetch'd,Normal,Volador,52,65,55,58,62,60,1,FALSO,352
92,Doduo,Normal,Volador,35,85,45,35,35,75,1,FALSO,310
93,Dodrio,Normal,Volador,60,110,70,60,60,100,1,FALSO,460
94,Seel,Agua,,65,45,55,45,70,45,1,FALSO,325
95,Dewgong,Agua,Hielo,90,70,80,70,95,70,1,FALSO,475
96,Grimer,Veneno,,80,80,50,40,50,25,1,FALSO,325
97,Muk,Veneno,,105,105,75,65,100,50,1,FALSO,500
98,Shellder,Agua,,30,65,100,45,25,40,1,FALSO,305
99,Cloyster,Agua,Hielo,50,95,180,85,45,70,1,FALSO,525
100,Gastly,Fantasma,Veneno,30,35,30,100,35,80,1,FALSO,310
101,Haunter,Fantasma,Veneno,45,50,45,115,55,95,1,FALSO,405
102,Gengar,Fantasma,Veneno,60,65,60,130,75,110,1,FALSO,500
103,Mega Gengar,Fantasma,Veneno,60,65,80,170,95,130,1,FALSO,600
104,Onix,Roca,Tierra,35,45,160,30,45,70,1,FALSO,385
105,Drowzee,Psiquico,,60,48,45,43,90,42,1,FALSO,328
106,Hypno,Psiquico,,85,73,70,73,115,67,1,FALSO,483
107,Krabby,Agua,,30,105,90,25,25,50,1,FALSO,325
108,Kingler,Agua,,55,130,115,50,50,75,1,FALSO,475
109,Voltorb,Electrico,,40,30,50,55,55,100,1,FALSO,330
110,Electrode,Electrico,,60,50,70,80,80,140,1,FALSO,480
111,Exeggcute,Planta,Psiquico,60,40,80,60,45,40,1,FALSO,325
112,Exeggutor,Planta,Psiquico,95,95,85,125,65,55,1,FALSO,520
113,Cubone,Tierra,,50,50,95,40,50,35,1,FALSO,320
114,Marowak,Tierra,,60,80,110,50,80,45,1,FALSO,425
115,Hitmonlee,Combate,,50,120,53,35,110,87,1,FALSO,455
116,Hitmonchan,Combate,,50,105,79,35,110,76,1,FALSO,455
117,Lickitung,Normal,,90,55,75,60,75,30,1,FALSO,385
118,Koffing,Veneno,,40,65,95,60,45,35,1,FALSO,340
119,Weezing,Veneno,,65,90,120,85,70,60,1,FALSO,490
120,Rhyhorn,Tierra,Roca,80,85,95,30,30,25,1,FALSO,345
121,Rhydon,Tierra,Roca,105,130,120,45,45,40,1,FALSO,485
122,Chansey,Normal,,250,5,5,35,105,50,1,FALSO,450
123,Tangela,Planta,,65,55,115,100,40,60,1,FALSO,435
124,Kangashian,Normal,,105,95,80,40,80,90,1,FALSO,490
125,Mega Kangashian,Normal,,105,125,100,60,100,100,1,FALSO,590
126,Horsea,Agua,,30,40,70,70,25,60,1,FALSO,295
127,Seadra,Agua,,55,65,95,95,45,85,1,FALSO,440
128,Goldeen,Agua,,45,67,60,35,50,63,1,FALSO,320
129,Seaking,Agua,,80,92,65,65,80,68,1,FALSO,450
130,Staryu,Agua,,30,45,55,70,55,85,1,FALSO,340
131,Starmie,Agua,Psiquico,60,75,85,100,85,115,1,FALSO,520
132,M. Mime,Psiquico,Hada,40,45,65,100,120,90,1,FALSO,460
133,Scyther,Bicho,Volador,70,110,80,55,80,105,1,FALSO,500
134,Jynx,Hielo,Psiquico,65,50,35,115,95,95,1,FALSO,455
135,Electabuzz,Electrico,,65,83,57,95,85,105,1,FALSO,490
136,Magmar,Fuego,,65,95,57,100,85,93,1,FALSO,495
137,Pinsir,Bicho,,65,125,100,55,70,85,1,FALSO,500
138,Mega Pinsir,Bicho,Volador,65,155,120,65,90,105,1,FALSO,600
139,Tauros,Normal,,75,100,95,40,70,110,1,FALSO,490
140,Magikarp,Agua,,20,10,55,15,20,80,1,FALSO,200
141,Gyarados,Agua,Volador,95,125,79,60,100,81,1,FALSO,540
142,Mega Gyarados,Agua,Siniestro,95,155,109,70,130,81,1,FALSO,640
143,Lapras,Agua,Hielo,130,85,80,85,95,60,1,FALSO,535
144,Ditto,Normal,,48,48,48,48,48,48,1,FALSO,288
145,Eevee,Normal,,55,55,50,45,65,55,1,FALSO,325
146,Vaporeon,Agua,,130,65,60,110,95,65,1,FALSO,525
147,Jolteon,Electrico,,65,65,60,110,95,130,1,FALSO,525
148,Flareon,Fuego,,65,130,60,95,110,65,1,FALSO,525
149,Porygon,Normal,,65,60,70,85,75,40,1,FALSO,395
150,Omanyte,Roca,Agua,35,40,100,90,55,35,1,FALSO,355
151,Omastar,Roca,Agua,70,60,125,115,70,55,1,FALSO,495
152,Kabuto,Roca,Agua,30,80,90,55,45,55,1,FALSO,355
153,Kabutops,Roca,Agua,60,115,105,65,70,80,1,FALSO,495
154,Aerodactyl,Roca,Volador,80,105,65,60,75,130,1,FALSO,515
155,Mega Aerodactyl,Roca,Volador,80,135,85,70,95,150,1,FALSO,615
